Word,Bangla Meaning (বাংলা অর্থ),Easy English Sentence
axiomatic,স্বতঃসিদ্ধ / প্রমাণবিহীন সত্য,It’s axiomatic that hard work leads to success.
cease,বন্ধ করা / থেমে যাওয়া,The rain finally ceased after hours.
conducive,সহায়ক / অনুকূল,A quiet room is conducive to studying.
corporeal,দেহগত / শারীরিক,He believed in both corporeal and spiritual existence.
doctrinaire,মতবাদে অনড় / কঠোর নীতিবাদী,His doctrinaire views left no room for compromise.
eclectic,বাছাইকৃত / বিভিন্ন উৎস থেকে সংগৃহীত,The artist’s style is eclectic and unique.
equanimity,মানসিক প্রশান্তি / স্থিরতা,She faced the crisis with remarkable equanimity.
exorbitant,অতিরিক্ত / অযৌক্তিক,The hotel charges were exorbitant.
fickle,চঞ্চল / অস্থির,Public opinion can be fickle.
figurative,রূপক / অলঙ্কারমূলক,The phrase “time is money” is figurative.
flustered,বিভ্রান্ত / অস্থির,He became flustered during the interview.
gullible,সহজে বিশ্বাসপ্রবণ / বোকাসোকা,Don’t be gullible — check the facts first.
idiosyncratic,স্বকীয় / অদ্ভুতভাবে ব্যক্তিগত,His idiosyncratic habits made him stand out.
incidental,গৌণ / আকস্মিক,The costs were incidental to the main expense.
ingrained,গভীরভাবে প্রোথিত / স্থায়ী,The habit of honesty was ingrained in him.
insolent,উদ্ধত / অবমাননাকর,His insolent behavior angered the teacher.
lampoon,ব্যঙ্গ করা / উপহাস করা,The cartoon lampooned the corrupt politician.
lavish,বিলাসবহুল / অপব্যয়ী,They threw a lavish party for their anniversary.
lugubrious,বিষণ্ণ / দুঃখপূর্ণ,He looked lugubrious after hearing the bad news.
macabre,ভয়ঙ্কর / মর্মান্তিক,The horror movie was full of macabre scenes.
morose,বিষণ্ণ / খিটখিটে,He became morose after losing his job.
officious,অতিসক্রিয় / অনধিকারচর্চাকারী,The officious clerk kept interrupting.
ramification,পরিণাম / শাখা-প্রশাখা,The decision has serious legal ramifications.
serene,শান্ত / প্রশান্ত,The lake looked serene in the evening light.
supplant,প্রতিস্থাপন করা / স্থান দখল করা,New technology will supplant the old machines.
tacit,নীরব / পরোক্ষ,He gave tacit approval by nodding.
transcend,অতিক্রম করা / ঊর্ধ্বে ওঠা,True art can transcend cultural boundaries.
treatise,প্রবন্ধ / বিশদ বিবরণ,He wrote a treatise on ancient philosophy.
,,
antagonize,বিরক্ত করা / শত্রুতা সৃষ্টি করা,Don’t antagonize your friends with harsh words.
barren,অনুর্বর / ফলহীন,The desert is a barren land.
bombastic,আড়ম্বরপূর্ণ / গালভরা,His bombastic speech impressed no one.
cajole,ফুসলিয়ে রাজি করানো,She tried to cajole him into joining the trip.
chary,সতর্ক / সাবধান,He is chary of investing his money in new ventures.
curmudgeon,বদমেজাজি মানুষ,The old curmudgeon complained about everything.
dirge,শোকগীতি / বিলাপ,A dirge was sung at the funeral.
estimable,সম্মাননীয় / প্রশংসনীয়,Her dedication to work is truly estimable.
euphemism,ভদ্রভাবে বলা / মার্জিত শব্দপ্রয়োগ,“Passed away” is a euphemism for “died.”
excoriate,তীব্র সমালোচনা করা,The critics excoriated the film for its poor script.
exigent,জরুরি / তীব্র প্রয়োজনীয়,The patient’s condition was exigent and needed quick care.
haughty,উদ্ধত / গর্বিত,She gave a haughty look to the waiter.
heady,উত্তেজনাপূর্ণ / বেপরোয়া,The heady success made him overconfident.
imperturbable,শান্ত / অবিচল,He remained imperturbable under pressure.
implacable,অনমনীয় / শান্ত না হওয়া,The enemy was implacable and showed no mercy.
lambaste,তীব্র সমালোচনা করা / মারধর করা,The coach lambasted the players for poor performance.
miscreant,দুষ্কৃতিকারী / অপরাধী,The police arrested the miscreant.
peccadillo,তুচ্ছ অপরাধ / ছোট ভুল,He apologized for his minor peccadillo.
philistine,সংস্কৃতিবিরোধী / অশিক্ষিত,He is too much of a philistine to enjoy art.
relegate,নিচে নামিয়ে দেওয়া / পদাবনতি করা,The manager was relegated to a lower position.
repugnant,ঘৃণ্য / বিরক্তিকর,His rude behavior was repugnant to everyone.
sentimental,আবেগপ্রবণ / স্নেহশীল,The movie made her sentimental.
squander,অপচয় করা,Don’t squander your money on useless things.
swindle,প্রতারণা করা / ঠকানো,The con man swindled people out of their savings.
tangible,দৃশ্যমান / স্পর্শযোগ্য,There was no tangible proof of his guilt.
turpitude,নৈতিক অধঃপতন / পাপাচার,The criminal was punished for his moral turpitude.
unalloyed,বিশুদ্ধ / খাঁটি,She felt unalloyed joy when she won the prize.
undercut,দুর্বল করা / দাম কমানো,The new shop undercut its rivals with low prices.
wheedle,ফুসলিয়ে কিছু পাওয়া,He tried to wheedle extra money from his parents.
xenophobic,বিদেশীবিদ্বেষী,The xenophobic crowd shouted at the immigrants.
,,
abeyance,স্থগিতাবস্থা / বিরতি,The project is in abeyance until next year.
abstract,বিমূর্ত / অস্পষ্ট,It’s hard to understand abstract ideas.
affront,অপমান / অপদস্থ করা,His rude joke was an affront to her dignity.
agitate,উত্তেজিত করা / নাড়া দেওয়া,The news agitated the whole town.
august,গম্ভীর / শ্রদ্ধেয়,The august leader inspired the nation.
burnish,চকচকে করা / পালিশ করা,He burnished his shoes before the interview.
coy,লাজুক / লাজভরা,She gave a coy smile when praised.
deprecate,নিন্দা করা / আপত্তি জানানো,He deprecated the use of violence.
disdain,অবজ্ঞা / ঘৃণা করা,She looked at him with disdain.
disperse,ছড়িয়ে দেওয়া / ছত্রভঙ্গ করা,The police dispersed the angry crowd.
distend,ফুলে যাওয়া / প্রসারিত হওয়া,The balloon distended as it filled with air.
endemic,স্থানীয় / স্বাভাবিকভাবে বিদ্যমান,Malaria is endemic to tropical regions.
enmity,শত্রুতা / বৈরিতা,The two families buried their long-standing enmity.
gauche,অশোভন / অদক্ষ,His gauche behavior embarrassed everyone.
hysterical,হিস্টিরিয়াগ্রস্ত / অত্যধিক উত্তেজিত,The fans became hysterical when they saw the singer.
impudent,উদ্ধত / বেয়াদব,His impudent remarks offended the teacher.
inchoate,অপরিণত / প্রাথমিক,His ideas were still in an inchoate stage.
penchant,ঝোঁক / প্রবণতা,She has a penchant for painting.
quandary,দ্বিধা / বিভ্রান্তি,I’m in a quandary about which job to choose.
quarantine,পৃথক রাখা / কোয়ারেন্টিনে রাখা,The patient was kept in quarantine for a week.
quash,বাতিল করা / দমন করা,The court quashed the illegal order.
quibble,তুচ্ছ বিষয়ে তর্ক করা,Don’t quibble over small details.
ravage,ধ্বংস করা / বিপর্যস্ত করা,The storm ravaged the coastal villages.
recant,পূর্ব মতামত প্রত্যাহার করা,He was forced to recant his statement.
redoubtable,ভয়ঙ্কর / শ্রদ্ধেয়,The general was a redoubtable leader.
retiring,লাজুক / নির্লিপ্ত,"He is a quiet, retiring person."
shrill,তীক্ষ্ণ / কর্কশ,The alarm made a shrill noise.
sophistry,ভ্রান্ত যুক্তি / ছলনামূলক তর্ক,His argument was mere sophistry.
substantiate,প্রমাণ করা / সমর্থন করা,The witness could not substantiate his claim.
wily,ধূর্ত / চতুর,The wily fox escaped the trap.
,,
abscond,পালিয়ে যাওয়া / গা ঢাকা দেওয়া,The thief tried to abscond with the money.
apogee,শীর্ষবিন্দু / সর্বোচ্চ বিন্দু,The singer reached the apogee of her career.
aspersion,অপবাদ / কলঙ্ক,He cast aspersions on her honesty.
bawdy,অশ্লীল / অশোভন,The comedian’s bawdy jokes made everyone blush.
chagrin,বিরক্তি / দুঃখ,"To his chagrin, he failed the exam again."
collude,গোপনে ষড়যন্ত্র করা,The companies colluded to fix prices.
commiserate,সহানুভূতি প্রকাশ করা,We commiserated with her after her loss.
conflagration,মহাআগুন / বিশাল অগ্নিকাণ্ড,The conflagration destroyed the entire village.
contretemps,অপ্রত্যাশিত বিব্রতকর ঘটনা,A small contretemps spoiled the dinner party.
conviction,দৃঢ় বিশ্বাস / দণ্ডাদেশ,She spoke with conviction about her ideals.
croon,মৃদুস্বরে গান গাওয়া,The mother crooned a lullaby to her baby.
depose,পদচ্যুত করা / অপসারণ করা,The dictator was deposed by the army.
detente,উত্তেজনা প্রশমন / সম্পর্কের উন্নতি,The countries achieved a brief detente after years of conflict.
dowdy,সাদাসিধে / অরুচিকর,Her clothes were dowdy but comfortable.
echelon,স্তর / পদমর্যাদা,He belongs to the upper echelon of the company.
ennui,ক্লান্তি / উদাসীনতা,"After months of isolation, he was filled with ennui."
expatiate,বিস্তারিতভাবে বলা,He expatiated on the topic for over an hour.
fraught,পূর্ণ / ভরা (সাধারণত নেতিবাচক অর্থে),The journey was fraught with danger.
fulcrum,ভিত্তিবিন্দু / কেন্দ্রবিন্দু,Education is the fulcrum of national progress.
imbroglio,জটিল অবস্থা / বিশৃঙ্খলা,The scandal created a political imbroglio.
jocund,প্রফুল্ল / হাসিখুশি,His jocund nature makes everyone around him happy.
languish,দুর্বল হওয়া / নিস্তেজ হওয়া,The flowers languished without water.
nadir,সর্বনিম্ন বিন্দু,His career reached its nadir after the scandal.
nimble,দ্রুত / চটপটে,The nimble dancer amazed the audience.
ominous,অশুভ / ভয়ংকর,Dark clouds gave an ominous sign of the storm.
outlandish,অদ্ভুত / অস্বাভাবিক,His outlandish outfit drew everyone’s attention.
propitious,শুভ / অনুকূল,The weather was propitious for a picnic.
prurient,কামুক / অশ্লীল,The book was banned for its prurient content.
sadistic,নিষ্ঠুর / পরের যন্ত্রণায় আনন্দিত,The villain had a sadistic pleasure in others’ pain.
zenith,চূড়ান্ত বিন্দু / সর্বোচ্চ স্থান,"At the zenith of his fame, he retired peacefully."
,,
aberrant,বিচ্যুত / অস্বাভাবিক,His aberrant behavior worried his parents.
abide,মেনে চলা / সহ্য করা,You must abide by the rules.
bravado,দম্ভ / মিথ্যা সাহস,His bravado hid his real fear.
callow,অপরিণত / অভিজ্ঞতাহীন,The callow youth made many mistakes.
capitulate,আত্মসমর্পণ করা,The enemy finally capitulated after a long battle.
cogitate,গভীরভাবে চিন্তা করা,He sat quietly to cogitate on the problem.
deportment,আচরণ / ভঙ্গি,Her graceful deportment impressed everyone.
extemporize,তাৎক্ষণিকভাবে করা / প্রস্তুতি ছাড়াই বলা,He had to extemporize his speech at the event.
factious,দলাদলিপূর্ণ / বিভেদসৃষ্টিকারী,The factious group caused trouble within the party.
fallow,পতিত / অনাবাদী,The farmer left the field fallow for a year.
feint,ভান করা আক্রমণ / প্রতারণা,The boxer made a feint to confuse his opponent.
flagrant,জঘন্য / প্রকাশ্যভাবে খারাপ,It was a flagrant violation of the law.
gratuitous,অকারণ / বিনামূল্যে,The film contained gratuitous violence.
grovel,পদলেহন করা / অত্যন্ত অনুনয় করা,He groveled before his boss for forgiveness.
indecorous,অশোভন / অশালীন,His indecorous behavior shocked the guests.
intrigue,কৌতূহল জাগানো / ষড়যন্ত্র করা,The mystery novel’s plot intrigued everyone.
nominal,নামমাত্র / অল্প,The company charged a nominal fee for entry.
obdurate,একগুঁয়ে / কঠোর,He remained obdurate despite everyone’s plea.
obstreperous,বেয়াড়া / হৈচৈপূর্ণ,The obstreperous children disturbed the class.
odious,ঘৃণ্য / জঘন্য,His odious remarks angered the crowd.
plucky,সাহসী / দৃঢ়চেতা,The plucky girl faced the danger without fear.
precocious,অকালপক্ব / অল্পবয়সে জ্ঞানী,The precocious child could solve complex puzzles.
remuneration,পারিশ্রমিক / বেতন,The workers demanded fair remuneration for their labor.
slovenly,অগোছালো / অপরিচ্ছন্ন,His slovenly appearance embarrassed his friends.
soliloquy,একক বক্তৃতা / স্বগতোক্তি,The actor delivered a powerful soliloquy on stage.
spurn,প্রত্যাখ্যান করা / অবজ্ঞা করা,She spurned his offer with disdain.
stolid,নির্বিকার / অনুভূতিহীন,His stolid expression gave away nothing.
temerity,দুঃসাহস / বেপরোয়া সাহস,He had the temerity to question his teacher.
tenuous,দুর্বল / অস্পষ্ট,The link between the two events was tenuous.
verve,উদ্যম / প্রাণশক্তি,The musician played with great verve and passion.
